osm_type,osm_id,name,lat,lon,address,city,website,review
relation,17528309,The Highlander Golf Club,47.3895403,-120.2281149,2920 8th Street Southeast East Wenatchee WA 98802,East Wenatchee,http://www.highlandergc.com/,
way,443783091,The Hitting Zone,48.7741573,-122.4397145,,,,
way,53055616,The Home Course,47.1071653,-122.662758,2300 Golf House Road DuPont WA 98327,DuPont,https://www.thehomecourse.com/,
way,1380483806,The Legacy Golf Course,46.9674485,-119.3549648,,,,
relation,17538020,The Links At Moses Pointe,47.1535358,-119.3565934,4524 Westshore Drive NE Moses Lake WA 98837,Moses Lake,http://www.mosespointe.com/?id=1843&page=113743,
way,255315612,The Members Club at Aldarra,47.5856134,-121.9564819,,,,
way,224772615,The Plains,47.5808852,-117.5486391,9810 West Melville Road Cheney WA,Cheney,https://www.theplains509.com/,
way,35112576,Three Lakes Golf Course,47.3676914,-120.2353248,2695 Golf Drive Malaga WA 98828,Malaga,http://www.threelakesgolf.com/,
way,305645798,Three Rivers Golf Course,46.1204798,-122.9081052,,,,
way,285952452,Tin Cup Golf,47.0840224,-123.0184814,,,,
way,292222823,Tom's Golf Center,46.9833209,-122.7726381,,,,
way,601096435,Touchet Valley Golf Course,46.3186242,-117.9942059,,,,
way,458994871,Trailhead Golf Course,47.6633255,-117.1010725,22710 East Country Vista Drive Liberty Lake WA 99019,Liberty Lake,https://www.libertylakewa.gov/246/Golf,
way,149674375,Tri Mountain Golf Course,45.8337875,-122.6868527,,,,
relation,5339433,Trophy Lake Golf & Casting,47.4675912,-122.7085101,3900 Southwest Lake Flora Road Port Orchard WA 98367,Port Orchard,,
relation,20132164,Tumble Creek Golf Course,47.2174908,-121.0440695,,,https://www.destinationhotels.com/suncadia-resort/golf/golf-courses/tumble-creek,
way,55412329,Tumwater Valley Golf Course,47.0032738,-122.8961154,4611 Tumwater Valley Drive Southeast Tumwater WA 98501,Tumwater,https://www.tumwatervalleygc.com/,
relation,2179779,Twin Lakes Country Club,47.3160984,-122.3771789,,,,
relation,531996,Twin Rivers Golf Course,47.5626103,-121.8822519,4446 Preston-Fall City Road SE Fall City WA 98024,Fall City,https://www.twinriversgolfcourse.com/,
way,222719203,University of Washington Golf Driving Range,47.6597443,-122.2977596,,,,
way,163978222,Useless Bay Golf and Country Club,48.0019515,-122.4818426,,,,
way,382608442,Vanco Driving Range,45.6267894,-122.6124861,703 North Devine Road,,,
way,292388665,Vashon Island Golf & Country Gold Course,47.3845532,-122.4311917,24615 75th Ave SW Vashon 98070,Vashon,,
way,142438441,Veterans Memorial Golf Course,46.0816481,-118.3340813,201 East Rees Avenue,,https://www.vetsmemorialgolf.com/,
way,1412316699,Vic Meyers Golf Course,47.5931164,-119.3881394,,,,
relation,5293913,Village Greens Golf Course,47.528167,-122.595347,2298 Fir Crest Drive Southeast Port Orchard WA,Port Orchard,http://www.villagegreensgolfcourse.com/,
way,141692652,Walla Walla Country Club,46.0421723,-118.3506075,,,,
relation,12813742,Walter E. Hall Memorial Golf Course,47.9159181,-122.2549386,,,,
way,227220118,Wandermere Golf Course,47.7837605,-117.3983275,,,,
relation,7111377,Washington National Golf Club,47.306831,-122.1550122,,,,
relation,19591837,Wenatchee Golf and Country Club,47.4314635,-120.2871792,,,,
relation,7090689,West Richland Golf Course,46.3044402,-119.337074,,,,
way,31652508,West Seattle Golf Course,47.5592446,-122.3702905,,,,
way,401720638,Westside Golf Range,45.7242942,-122.6686895,14205 Northeast 3rd Court Vancouver 98685,Vancouver,http://www.westsidegolfrange.com/,
relation,8831240,Westwood West Golf Course,46.5910239,-120.5925725,,,,
way,248525674,Whidbey Golf Club,48.2882625,-122.6918733,,,,
way,51244839,Whispering Firs Golf Course,47.1280037,-122.5091183,895 Lincoln Boulevard McChord AFB WA,McChord AFB,,
relation,3799855,White Horse Golf Club,47.7645419,-122.5316293,,,,
way,42420031,Willows Run Golf Club,47.6967553,-122.1440817,10402 Willows Road Northeast Redmond WA 98052,Redmond,https://willowsrun.com/,
way,436979104,Wine Valley Golf Club,46.0585203,-118.5027093,,,,
relation,15765636,Wing Point Golf Course,47.6307569,-122.503033,811 Cherry Avenue Northeast Bainbridge Island WA 98110,Bainbridge Island,https://www.wingpointgolf.com,
way,551295356,Woodland Creek Disc Golf Course,47.0360753,-122.7915925,,,,
way,932256158,Yakima Country Club,46.5982213,-120.4354259,,,https://www.yakimacountryclub.org/,
way,27183423,Zintel Creek Golf Club,46.2120331,-119.1455618,,,,
way,679962740,,48.2271595,-122.47006,,,,MISSING NAME — needs manual identification
way,1524907585,,48.9567381,-122.7150948,,,,MISSING NAME — needs manual identification
